Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
17. Fri4/24 at MIA L (2-3),Ramos,Zimmerman,Uggla,Escobar,Desmond,Werth,Span,Harper,Zimmermann,
18. Sat4/25 at MIA L (0-8),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Harper,Johnson,Strasburg,
19. Sun4/26 at MIA L (2-6),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Gonzalez,
20. Mon4/27 at ATL L (4-8)#,Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Fister,
21. Tue4/28 at ATL W (13-12),Lobaton,Zimmerman,Uggla,Espinosa,Desmond,Werth,Span,Harper,Cole,
22. Wed4/29 at ATL W (13-4)#,Ramos,Zimmerman,Uggla,Espinosa,Desmond,Werth,Span,Harper,Zimmermann,
23. Thu4/30 at NYM W (8-2),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Strasburg,
24. Fri5/1 at NYM L (0-4),Ramos,Zimmerman,Uggla,Escobar,Desmond,Werth,Taylor,Harper,Scherzer,
25. Sat5/2 at NYM W (1-0)#,Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Taylor,Harper,Gonzalez,
26. Sun5/3 at NYM W (1-0),Lobaton,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Fister,
27. Mon5/4 vs MIA W (6-4),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Zimmermann,
28. Tue5/5 vs MIA L (1-2),Ramos,Zimmerman,Uggla,Escobar,Desmond,Taylor,Span,Harper,Strasburg,
29. Wed5/6 vs MIA W (7-5),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Scherzer,
30. Fri5/8 vs ATL W (9-2)#,Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Gonzalez,
31. Sat5/9 vs ATL W (8-6),Lobaton,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Fister,
32. Sun5/10 vs ATL W (5-4)#,Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Taylor,Harper,Zimmermann,
33. Mon5/11 at ARI W (11-1),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Scherzer,
34. Tue5/12 at ARI L (6-14),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Strasburg,
35. Wed5/13 at ARI W (9-6),Lobaton,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Gonzalez,
36. Thu5/14 at SDP L (3-8),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Fister,
37. Fri5/15 at SDP W (10-0),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Werth,Span,Harper,Zimmermann,
38. Sat5/16 at SDP W (4-1),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Scherzer,
39. Sun5/17 at SDP W (10-5),Lobaton,Zimmerman,Espinosa,Escobar,Desmond,Moore,Taylor,Harper,Strasburg,
40. Tue5/19 vs NYY W (8-6),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Gonzalez,
41. Wed5/20 vs NYY W (3-2),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Moore,Span,Harper,Zimmermann,
42. Fri5/22 vs PHI W (2-1),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Robinson,Span,Harper,Scherzer,
43. Sat5/23 vs PHI L (1-8)#,Ramos,Zimmerman,Uggla,Escobar,Desmond,Taylor,Span,Harper,Strasburg,
44. Sun5/24 vs PHI W (4-1),Lobaton,Zimmerman,Espinosa,Escobar,Desmond,Robinson,Span,Harper,Gonzalez,
45. Mon5/25 at CHC W (2-1)#,Ramos,Zimmerman,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Roark,
46. Tue5/26 at CHC L (2-3),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Moore,Span,Harper,Zimmermann,
47. Wed5/27 at CHC W (3-0)#,Ramos,Zimmerman,Uggla,Escobar,Desmond,Moore,Span,Harper,Scherzer,
48. Fri5/29 at CIN L (2-5),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Strasburg,
49. Sat5/30 at CIN L (5-8),Lobaton,Zimmerman,Espinosa,Escobar,Desmond,Taylor,Span,Robinson,Gonzalez,
50. Sun5/31 at CIN L (2-8),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Roark,
51. Tue6/2 vs TOR W (2-0),Ramos,Zimmerman,Espinosa,Escobar,Desmond,Moore,Taylor,Harper,Zimmermann,
52. Tue6/2 vs TOR L (3-7),Lobaton,Moore,Espinosa,Escobar,Desmond,Robinson,Taylor,Harper,Scherzer,
53. Wed6/3 vs TOR L (0-8)#,Ramos,Zimmerman,Espinosa,Escobar,Desmond,Moore,Span,Harper,Jordan,
54. Thu6/4 vs CHC L (1-2),Lobaton,Zimmerman,Rendon,Escobar,Desmond,Taylor,Span,Harper,Gonzalez,
55. Fri6/5 vs CHC W (7-5)#,Ramos,Zimmerman,Espinosa,Rendon,Desmond,Taylor,Span,Harper,Roark,
56. Sat6/6 vs CHC L (2-4),Ramos,Zimmerman,Espinosa,Rendon,Desmond,Robinson,Span,Harper,Ross,
57. Sun6/7 vs CHC L (3-6),Ramos,Moore,Rendon,Escobar,Desmond,Taylor,Span,Harper,Zimmermann,
58. Tue6/9 at NYY L (1-6),Ramos,Zimmerman,Espinosa,Rendon,Desmond,Robinson,Taylor,Harper,Scherzer,Escobar
59. Wed6/10 at NYY W (5-4),Lobaton,Moore,Espinosa,Rendon,Desmond,Robinson,Span,Harper,Gonzalez,Escobar
60. Thu6/11 at MIL L (5-6),Ramos,Robinson,Rendon,Escobar,Espinosa,Taylor,Span,Harper,Roark,
61. Fri6/12 at MIL L (4-8),Ramos,Robinson,Rendon,Escobar,Desmond,Taylor,Span,Harper,Zimmermann,
62. Sat6/13 at MIL W (7-2),Ramos,Espinosa,Rendon,Escobar,Desmond,Taylor,Span,Harper,Ross,
63. Sun6/14 at MIL W (4-0),Lobaton,Espinosa,Rendon,Escobar,Desmond,Taylor,Span,Robinson,Scherzer,
64. Mon6/15 at TBR L (1-6),Ramos,Espinosa,Rendon,Escobar,Desmond,Taylor,Span,Robinson,Gonzalez,Harper
65. Tue6/16 at TBR W (16-4),Ramos,Robinson,Espinosa,Rendon,Desmond,Taylor,Span,Harper,Roark,Escobar
66. Wed6/17 vs TBR L (0-5),Lobaton,Espinosa,Rendon,Escobar,Desmond,Robinson,Taylor,Harper,Zimmermann,
67. Thu6/18 vs TBR L (3-5),Ramos,Espinosa,Rendon,Escobar,Desmond,Taylor,Span,Harper,Fister,
68. Fri6/19 vs PIT W (4-1),Ramos,Moore,Rendon,Escobar,Espinosa,Taylor,Span,Robinson,Ross,
69. Sat6/20 vs PIT W (6-0)#,Ramos,Moore,Espinosa,Rendon,Desmond,Taylor,Span,Harper,Scherzer,
70. Sun6/21 vs PIT W (9-2),Lobaton,Robinson,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Gonzalez,
71. Tue6/23 vs ATL W (3-1)#,Ramos,Moore,Rendon,Escobar,Espinosa,Taylor,Span,Harper,Strasburg,
72. Wed6/24 vs ATL W (2-1),Ramos,Robinson,Rendon,Escobar,Desmond,Taylor,Span,Harper,Zimmermann,
73. Thu6/25 vs ATL W (7-0),Ramos,Moore,Espinosa,Escobar,Desmond,Taylor,Span,Robinson,Fister,
74. Fri6/26 at PHI W (5-2),Ramos,Moore,Espinosa,Escobar,Desmond,Robinson,Taylor,den Dekker,Scherzer,
75. Sun6/28 at PHI W (3-2),Ramos,Robinson,Uggla,Espinosa,Desmond,Taylor,Span,Harper,Strasburg,
76. Sun6/28 at PHI L (5-8),Lobaton,Moore,Espinosa,Escobar,Desmond,Robinson,Taylor,den Dekker,Roark,
77. Tue6/30 at ATL W (6-1),Ramos,Robinson,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Zimmermann,
78. Wed7/1 at ATL L (1-4),Ramos,Robinson,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Fister,
79. Thu7/2 at ATL L (1-2)#,Ramos,Moore,Uggla,Escobar,Espinosa,Taylor,Span,Harper,Scherzer,
80. Fri7/3 vs SFG W (2-1),Lobaton,Robinson,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Gonzalez,
81. Sat7/4 vs SFG W (9-3)#,Ramos,Robinson,Espinosa,Escobar,Desmond,Moore,Taylor,Harper,Strasburg,
82. Sun7/5 vs SFG W (3-1),Ramos,Robinson,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Zimmermann,
83. Mon7/6 vs CIN L (2-3),Ramos,Robinson,Espinosa,Escobar,Desmond,Taylor,Span,Harper,Fister,
84. Tue7/7 vs CIN L (0-5),Ramos,Robinson,Uggla,Espinosa,Desmond,den Dekker,Taylor,Harper,Scherzer,
85. Fri7/10 at BAL L (2-3),Lobaton,Moore,Espinosa,Escobar,Desmond,Robinson,Taylor,Harper,Gonzalez,Ramos
86. Sat7/11 at BAL W (7-4),Ramos,Moore,Espinosa,Escobar,Desmond,den Dekker,Taylor,Harper,Zimmermann,Robinson
87. Sun7/12 at BAL W (3-2)#,Ramos,Moore,Espinosa,Escobar,Desmond,Robinson,Taylor,Harper,Scherzer,Uggla
