Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
153. Fri9/23 at BAL L (2-3),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Tomas,Miller,Jensen
154. Sat9/24 at BAL L (1-6)#,Castillo,Goldschmidt,Segura,Drury,Owings,Jensen,Haniger,Tomas,Ray,Gosselin
155. Sun9/25 at BAL L (1-2),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Brito,Tomas,Shipley,Castillo
156. Mon9/26 at WSN W (14-4),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Tomas,Bradley,
157. Tue9/27 at WSN L (2-4),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Tomas,Koch,
158. Wed9/28 at WSN W (3-0)#,Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Tomas,Miller,
159. Thu9/29 at WSN L (3-5),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Brito,Ray,
160. Fri9/30 vs SDP W (5-3),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Brito,Shipley,
161. Sat10/1 vs SDP W (9-5)#,Hernandez,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Tomas,Bradley,
162. Sun10/2 vs SDP W (3-2),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Tomas,Koch,
162 Games,4 Players,3 Players,3 Players,3 Players,3 Players,10 Players,7 Players,9 Players,10 Players,5 Players
