Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
32,Brandon Barnes\barnebr02,30,COL,48,109,100,10,22,6,2,0,8,1,2,3,30,.220,.250,.320,.570,42,32,0,1,5,0,0,78/9
33,Jacob Barnes\barneja01,26,MIL,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
34,Tucker Barnhart#\barnhtu01,25,CIN,115,420,377,34,97,23,1,7,51,1,0,36,72,.257,.323,.379,.702,86,143,12,2,2,3,8,2
35,Kyle Barraclough\barraky01,26,MIA,75,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
36,Jake Barrett\barreja01,24,ARI,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
37,Antonio Bastardo\bastaan01,30,TOT,69,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
38,Antonio Bastardo\bastaan01,30,NYM,41,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
39,Antonio Bastardo\bastaan01,30,PIT,28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
40,Buddy Baumann*\baumabu01,28,SDP,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
41,Gordon Beckham\beckhgo01,29,TOT,88,279,245,25,52,16,1,5,31,1,0,26,52,.212,.294,.347,.641,72,85,12,4,0,4,1,456
42,Gordon Beckham\beckhgo01,29,ATL,85,273,240,25,52,16,1,5,30,1,0,26,50,.217,.300,.354,.655,76,85,12,4,0,3,1,456
43,Gordon Beckham\beckhgo01,29,SFG,3,6,5,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,1,0,/5
44,Matt Belisle\belisma01,36,WSN,40,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
45,Josh Bell#\belljo02,23,PIT,45,152,128,18,35,8,0,3,19,0,1,21,19,.273,.368,.406,.775,106,52,4,0,0,3,0,39
46,Brandon Belt*\beltbr01,28,SFG,156,655,542,77,149,41,8,17,82,0,4,104,148,.275,.394,.474,.868,134,257,7,5,0,4,4,*3/7
47,Christian Bergman\bergmch01,28,COL,15,3,3,1,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,69,1,0,0,0,0,0,1
48,Christian Bethancourt\bethach01,24,SDP,73,204,193,20,44,9,0,6,25,1,2,10,56,.228,.265,.368,.633,69,71,9,0,0,1,0,2/79D14
49,Chad Bettis\bettich01,27,COL,32,58,49,2,2,0,0,0,2,0,0,4,21,.041,.113,.041,.154,-59,2,1,0,5,0,0,1
50,Ty Blach\blachty01,25,SFG,4,4,4,1,2,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,172,2,0,0,0,0,0,/1
51,Charlie Blackmon*\blackch02,29,COL,143,641,578,111,187,35,5,29,82,17,9,43,102,.324,.381,.552,.933,130,319,2,13,3,4,4,*8
52,Aaron Blair\blairaa01,24,ATL,15,23,21,0,1,0,0,0,0,0,0,0,9,.048,.048,.048,.095,-74,1,0,0,2,0,0,1
53,Andres Blanco#\blancan01,32,PHI,90,209,190,26,48,15,1,4,21,2,3,11,41,.253,.316,.405,.721,93,77,7,7,0,1,0,5436/7
54,Gregor Blanco*\blancgr01,32,SFG,106,274,241,28,54,10,4,1,18,6,3,29,51,.224,.309,.311,.620,69,75,5,1,1,1,4,978
55,Joe Blanton\blantjo01,35,LAD,75,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
56,Jabari Blash\blashja01,26,SDP,38,84,71,7,12,2,0,3,5,1,0,11,34,.169,.298,.324,.622,68,23,3,2,0,0,0,9/7
57,Michael Blazek\blazemi01,27,MIL,42,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
58,Jerry Blevins*\blevije01,32,NYM,73,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
59,Mike Bolsinger\bolsimi01,28,LAD,6,9,9,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
60,Emilio Bonifacio#\bonifem01,31,ATL,24,43,38,6,8,0,0,0,3,1,0,3,12,.211,.268,.211,.479,32,8,0,0,2,0,0,7/8
61,Wilfredo Boscan\boscawi01,26,PIT,6,3,3,0,1,0,0,0,1,0,0,0,1,.333,.333,.333,.667,79,1,0,0,0,0,0,/1
62,Justin Bour*\bourju01,28,MIA,90,321,280,35,74,12,1,15,51,0,0,38,56,.264,.349,.475,.824,123,133,8,0,0,3,9,3/D
63,Peter Bourjos\bourjpe01,29,PHI,123,383,355,40,89,20,7,5,23,6,4,17,91,.251,.292,.389,.681,81,138,6,4,6,1,2,*98
64,Michael Bourn*\bournmi01,33,ARI,89,358,329,43,86,12,6,3,30,13,5,22,83,.261,.307,.362,.669,73,119,3,0,6,1,0,8/79
65,Matthew Bowman\bowmama01,25,STL,59,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
66,Blaine Boyer\boyerbl01,34,MIL,61,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
67,Silvino Bracho\brachsi01,23,ARI,26,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
68,Archie Bradley\bradlar01,23,ARI,26,48,43,2,3,0,0,0,4,0,0,0,28,.070,.068,.070,.138,-64,3,0,0,4,1,0,1
69,Jed Bradley*\bradlje01,26,ATL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
70,Steven Brault*\braulst01,24,PIT,8,9,8,1,2,0,0,0,0,0,0,0,0,.250,.250,.250,.500,34,2,0,0,1,0,0,/1
71,Ryan Braun\braunry02,32,MIL,135,564,511,80,156,23,3,30,91,16,5,46,98,.305,.365,.538,.903,137,275,20,4,0,3,10,*7/D9
72,Craig Breslow*\breslcr01,35,MIA,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
73,Austin Brice\briceau01,24,MIA,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
74,Reid Brignac#\brignre01,30,ATL,13,29,29,3,6,2,0,0,1,0,0,0,8,.207,.207,.276,.483,29,8,0,0,0,0,0,/54
75,Socrates Brito*\britoso01,23,ARI,40,97,95,10,17,3,1,4,12,2,0,2,23,.179,.196,.358,.554,39,34,3,0,0,0,0,89/7
76,Mike Broadway\broadmi01,29,SFG,4,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,/1
77,Trevor Brown\browntr01,24,SFG,75,184,173,17,41,7,0,5,19,0,1,10,39,.237,.283,.364,.647,73,63,2,1,0,0,0,2/D5
78,Jonathan Broxton\broxtjo01,32,STL,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
79,Keon Broxton\broxtke01,26,MIL,75,244,207,28,50,10,1,9,19,23,4,36,88,.242,.354,.430,.784,108,89,2,0,1,0,0,8
80,Jay Bruce*\bruceja01,29,TOT,147,589,539,74,135,27,6,33,99,4,2,44,126,.250,.309,.506,.815,113,273,14,3,0,3,7,*9/D8
81,Jay Bruce*\bruceja01,29,CIN,97,402,370,60,98,22,6,25,80,4,2,27,83,.265,.316,.559,.875,126,207,11,2,0,3,3,9/8D
82,Jay Bruce*\bruceja01,29,NYM,50,187,169,14,37,5,0,8,19,0,0,17,43,.219,.294,.391,.685,82,66,3,1,0,0,4,9/D
83,Kris Bryant\bryankr01,24,CHC,155,699,603,121,176,35,3,39,102,8,5,75,154,.292,.385,.554,.939,150,334,3,18,0,3,5,579/38D6
84,Jake Buchanan\buchaja01,26,CHC,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
85,Ryan Buchter*\buchtry01,29,SDP,67,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
86,Madison Bumgarner\bumgama01,26,SFG,36,97,86,8,16,6,0,3,9,0,0,10,43,.186,.268,.360,.629,68,31,1,0,0,1,0,1
87,Enrique Burgos\burgoen02,25,ARI,43,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
88,Sean Burnett*\burnese01,33,WSN,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
89,Emmanuel Burriss#\burriem01,31,PHI,39,50,45,3,5,1,1,0,0,1,0,2,10,.111,.184,.178,.361,-2,8,1,2,1,0,0,/4763D
90,Matt Buschmann\buschma01,32,ARI,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
91,Eddie Butler\butleed01,25,COL,17,19,15,0,1,0,0,0,0,0,0,0,2,.067,.067,.067,.133,-66,1,0,0,4,0,0,1
92,Asdrubal Cabrera#\cabreas01,30,NYM,141,568,521,65,146,30,1,23,62,5,1,38,103,.280,.336,.474,.810,115,247,14,7,0,2,3,*6
93,Mauricio Cabrera\cabrema01,22,ATL,41,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
94,Ramon Cabrera#\cabrera01,26,CIN,61,185,171,11,42,10,0,3,23,1,1,8,30,.246,.279,.357,.635,68,61,5,1,2,3,1,2
95,Trevor Cahill\cahiltr01,28,CHC,51,11,8,1,1,0,0,0,1,0,0,1,4,.125,.222,.125,.347,-2,1,0,0,2,0,0,1
96,Matt Cain\cainma01,31,SFG,21,28,27,1,2,1,0,1,5,0,0,0,17,.074,.074,.222,.296,-24,6,0,0,1,0,0,1
97,Arquimedes Caminero\caminar01,29,PIT,39,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
98,Eric Campbell\campber01,29,NYM,40,88,75,9,13,1,0,1,9,1,0,10,24,.173,.284,.227,.511,41,17,2,2,0,1,1,3/574
99,Leonel Campos\campole01,28,SDP,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
100,Vicente Campos\campovi01,23,ARI,1,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
101,Jeimer Candelario#\candeje01,22,CHC,5,14,11,0,1,0,0,0,0,0,0,2,5,.091,.286,.091,.377,9,1,0,1,0,0,1,/5
102,Chris Capuano*\capuach01,37,MIL,16,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0,1
103,Matt Carasiti\carasma01,24,COL,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
104,Stephen Cardullo\cardust01,28,COL,27,59,56,5,12,3,1,2,6,0,0,3,12,.214,.254,.411,.665,63,23,2,0,0,0,0,3/97
105,Matt Carpenter*\carpema01,30,STL,129,566,473,81,128,36,6,21,68,0,4,81,108,.271,.380,.505,.885,136,239,4,5,3,4,6,534/D
106,Chris Carter\cartech02,29,MIL,160,644,549,84,122,27,1,41,94,3,1,76,206,.222,.321,.499,.821,115,274,18,9,0,10,1,*3/D
107,Andrew Cashner\cashnan01,29,TOT,28,40,34,3,6,0,0,0,1,0,0,3,13,.176,.243,.176,.420,17,6,0,0,3,0,0,1
108,Andrew Cashner\cashnan01,29,SDP,16,22,18,2,3,0,0,0,1,0,0,2,6,.167,.250,.167,.417,16,3,0,0,2,0,0,1
109,Andrew Cashner\cashnan01,29,MIA,12,18,16,1,3,0,0,0,0,0,0,1,7,.188,.235,.188,.423,18,3,0,0,1,0,0,1
110,Santiago Casilla\garcija01,35,SFG,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
111,Welington Castillo\castiwe01,29,ARI,113,457,416,41,110,24,0,14,68,2,0,33,121,.264,.322,.423,.745,91,176,5,4,0,4,3,2/D
112,Daniel Castro\castrda01,23,ATL,47,139,130,8,26,1,0,0,7,1,1,7,24,.200,.241,.208,.449,23,27,4,0,2,0,1,64/5
113,Miguel Castro\castrmi01,21,COL,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
114,Gavin Cecchini\cecchga02,22,NYM,4,7,6,2,2,2,0,0,2,0,0,0,2,.333,.429,.667,1.095,189,4,0,1,0,0,0,/6
115,Francisco Cervelli\cervefr01,30,PIT,101,393,326,42,86,14,1,1,33,6,2,56,72,.264,.377,.322,.699,89,105,14,6,0,5,1,2/3D
116,Hunter Cervenka*\cervehu01,26,TOT,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
117,Hunter Cervenka*\cervehu01,26,ATL,50,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
118,Hunter Cervenka*\cervehu01,26,MIA,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
119,Yoenis Cespedes\cespeyo01,30,NYM,132,543,479,72,134,25,1,31,86,3,1,51,108,.280,.354,.530,.884,134,254,14,7,0,6,8,*78/D
120,Jhoulys Chacin\chacijh01,28,ATL,5,8,8,0,2,0,0,0,1,0,0,0,1,.250,.250,.250,.500,36,2,0,0,0,0,0,/1
121,Andrew Chafin\chafian01,26,ARI,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
122,Aroldis Chapman*\chapmar01,28,CHC,28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
123,Tyler Chatwood\chatwty01,26,COL,27,58,53,3,10,0,1,0,4,0,0,2,14,.189,.218,.226,.445,12,12,1,0,3,0,0,1
124,Jesse Chavez\chaveje01,32,LAD,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
125,Wei-Yin Chen\chenwe02,30,MIA,22,49,44,0,0,0,0,0,0,0,0,0,18,.000,.000,.000,.000,-100,0,2,0,5,0,0,1
126,Tony Cingrani*\cingrto01,26,CIN,65,1,0,1,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,0,0,0,1
127,Paul Clemens\clemepa02,28,TOT,18,23,21,1,0,0,0,0,0,0,0,1,11,.000,.045,.000,.045,-86,0,1,0,1,0,0,1
128,Paul Clemens\clemepa02,28,MIA,2,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
129,Paul Clemens\clemepa02,28,SDP,16,21,19,1,0,0,0,0,0,0,0,1,9,.000,.050,.000,.050,-85,0,1,0,1,0,0,1
130,Tyler Clippard\clippty01,31,ARI,40,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
131,Chris Coghlan*\coghlch01,31,CHC,48,128,103,21,26,7,2,1,16,1,0,22,26,.252,.391,.388,.779,112,40,2,2,0,1,2,7/395
132,Phil Coke*\cokeph01,33,PIT,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
133,A.J. Cole\coleaj01,24,WSN,8,8,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,1,0,1,0,0,/1
134,Gerrit Cole\colege01,25,PIT,21,43,40,3,8,1,0,1,3,0,0,0,19,.200,.220,.300,.520,36,12,0,1,2,0,0,1
135,Louis Coleman\colemlo01,30,LAD,61,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
136,Josh Collmenter\collmjo01,30,TOT,18,7,6,0,0,0,0,0,0,0,0,0,6,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
137,Josh Collmenter\collmjo01,30,ARI,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
138,Josh Collmenter\collmjo01,30,ATL,3,7,6,0,0,0,0,0,0,0,0,0,6,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
139,Bartolo Colon\colonba01,43,NYM,34,65,60,4,5,2,0,1,2,0,0,1,40,.083,.098,.167,.265,-30,10,3,0,4,0,0,1
140,Gerardo Concepcion*\concege01,24,CHC,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
141,Michael Conforto*\confomi01,23,NYM,109,348,304,38,67,21,1,12,42,2,1,36,89,.220,.310,.414,.725,93,126,6,5,0,3,2,7/98D
142,Adam Conley*\conlead01,26,MIA,25,47,41,4,5,0,0,0,3,0,0,1,22,.122,.140,.122,.261,-27,5,1,0,4,1,0,1
143,Willson Contreras\contrwi01,24,CHC,76,283,252,33,71,14,1,12,35,2,2,26,67,.282,.357,.488,.845,126,123,7,4,0,1,0,27/3
144,Patrick Corbin*\corbipa01,26,ARI,38,53,49,7,15,3,1,0,4,0,1,1,14,.306,.320,.408,.728,87,20,0,0,3,0,0,1
145,Jarred Cosart\cosarja01,26,TOT,13,18,16,1,2,0,0,0,0,0,0,0,5,.125,.125,.125,.250,-32,2,0,0,2,0,0,1
146,Jarred Cosart\cosarja01,26,MIA,4,7,6,0,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-8,1,0,0,1,0,0,/1
147,Jarred Cosart\cosarja01,26,SDP,9,11,10,1,1,0,0,0,0,0,0,0,4,.100,.100,.100,.200,-46,1,0,0,1,0,0,/1
148,Caleb Cotham\cothaca01,28,CIN,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
149,Zack Cozart\cozarza01,30,CIN,121,508,464,67,117,28,2,16,50,4,1,37,84,.252,.308,.425,.732,92,197,9,2,1,4,3,*6/D
150,Tyler Cravy\cravyty01,26,MIL,20,5,4,1,1,0,0,1,1,0,0,0,1,.250,.250,1.000,1.250,211,4,0,0,1,0,0,1
151,Brandon Crawford*\crawfbr01,29,SFG,155,623,553,67,152,28,11,12,84,7,0,57,115,.275,.342,.430,.772,107,238,13,4,0,9,10,*6
152,Carl Crawford*\crawfca02,34,LAD,30,87,81,8,15,2,1,0,6,0,1,4,11,.185,.230,.235,.464,28,19,3,1,0,1,0,7/D
153,Johnny Cueto\cuetojo01,30,SFG,32,84,70,1,8,0,0,0,5,0,0,2,24,.114,.137,.114,.251,-31,8,2,0,11,1,0,1
154,Charlie Culberson\culbech01,27,LAD,34,68,67,6,20,3,0,1,7,1,0,1,13,.299,.309,.388,.697,90,26,2,0,0,0,0,64/57
155,Brandon Cunniff\cunnibr02,27,ATL,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
156,Zac Curtis*\curtiza01,23,ARI,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
157,Chase d'Arnaud\darnach01,29,ATL,84,262,233,24,57,14,2,1,21,9,3,23,50,.245,.317,.335,.652,76,78,5,3,0,3,1,654/789
158,Travis d'Arnaud\darnatr01,27,NYM,75,276,251,27,62,7,0,4,15,0,0,19,50,.247,.307,.323,.629,70,81,7,3,2,1,1,2
159,David Dahl*\dahlda01,22,COL,63,237,222,42,70,12,4,7,24,5,0,15,59,.315,.359,.500,.859,113,111,3,0,0,0,0,7/89
160,Zach Davies\davieza02,23,MIL,28,61,53,2,5,0,0,0,1,0,0,1,22,.094,.111,.094,.205,-44,5,0,0,7,0,0,1
161,Grant Dayton*\daytogr01,28,LAD,25,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
162,Alejandro De Aza*\deazaal01,32,NYM,130,267,234,31,48,9,0,6,25,4,3,26,67,.205,.297,.321,.618,67,75,5,5,1,1,1,879
163,Ivan De Jesus\dejesiv02,29,CIN,104,243,221,21,56,10,0,1,20,3,1,17,51,.253,.311,.312,.623,67,69,6,2,2,1,1,6453/7
164,Joel De La Cruz\delacjo01,27,ATL,22,18,16,0,3,0,0,0,1,0,0,0,8,.188,.188,.188,.375,2,3,1,0,2,0,0,1
165,Jorge De La Rosa*\rosajo01,35,COL,27,42,38,4,7,0,0,0,6,0,0,2,14,.184,.244,.184,.428,10,7,0,1,1,0,0,1
166,Rubby De La Rosa\delarru01,27,ARI,13,17,14,0,1,0,0,0,1,0,0,0,3,.071,.071,.071,.143,-63,1,1,0,3,0,0,1
167,Jose De Leon\deleojo03,23,LAD,4,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
168,Abel De Los Santos\delosab01,23,CIN,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
169,Jacob deGrom*\degroja01,28,NYM,27,50,42,6,6,1,0,0,2,0,0,3,12,.143,.200,.167,.367,1,7,1,0,5,0,0,1
170,Steve Delabar\delabst01,32,CIN,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
171,Randall Delgado\delgara01,26,ARI,79,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
172,Matt den Dekker*\dendema01,28,WSN,19,39,34,3,6,1,0,1,4,1,0,4,10,.176,.282,.294,.576,54,10,0,1,0,0,0,/897
173,Daniel Descalso*\descada01,29,COL,99,289,250,38,66,12,2,8,38,3,0,34,56,.264,.349,.424,.773,93,106,2,1,0,4,3,634/75D
174,Anthony DeSclafani\desclan01,26,CIN,20,43,41,0,5,1,0,0,1,0,0,1,22,.122,.143,.146,.289,-23,6,1,0,1,0,0,1
175,Odrisamer Despaigne\despaod01,29,MIA,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
176,Aledmys Diaz\diazal02,25,STL,111,460,404,71,121,28,3,17,65,4,4,41,60,.300,.369,.510,.879,134,206,10,7,2,6,6,6/4
177,Dayan Diaz\diazda01,27,CIN,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
178,Elias Diaz\diazel01,25,PIT,1,4,4,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2
179,Jumbo Diaz\diazju03,32,CIN,45,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
180,Alex Dickerson*\dickeal01,26,SDP,84,285,253,39,65,16,2,10,37,5,1,26,44,.257,.333,.455,.788,110,115,5,4,0,2,2,7/D
181,Derek Dietrich*\dietrde01,26,MIA,128,412,351,39,98,20,5,7,42,1,0,32,84,.279,.374,.425,.798,119,149,6,24,0,5,2,435/7
182,Wilmer Difo#\difowi01,24,WSN,31,66,58,14,16,3,0,1,7,3,0,8,12,.276,.364,.379,.743,98,22,0,0,0,0,1,/465
